Parameter,Parameter Code
"1,1,1,2,2-Pentafluoroethane",43834
"1,1,1,2-Tetrachloroethane",43837
"1,1,1-Trichloro-2,2-bis (p-chlorophenyl) ethane",43162
"1,1,2,2-Tetrachloroethane",43818
"1,1,2-Trichloro-1,2,2-trifluoroethane",43821
"1,1,2-Trichloroethane",43820
"1,1-Biphenyl, chloro (TSP) STP",17809
"1,1-Bis(4-chlorophenyl)-2,2-dichloroethane",43134
"1,1-Dichloroethane",43813
"1,1-Dichloroethenylidene bis(4-chlorobenzene)",43166
"1,1-Dichloroethylene",43826
"1,1-Difluoroethane",43854
"1,2,3,4,5,6- Hexachlolocyclohexane, .beta.-",43139
"1,2,3,4,5,6- Hexachlorocyclohexane",43138
"1,2,3,4,5,6- Hexachlorocyclohexane, .delta.-",43140
"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin (TSP) STP",16919
"1,2,3,4,6,7,8-Heptachlorodibenzofuran (TSP) STP",16926
"1,2,3,4,7,8,9-Heptachlorodibenzofuran (TSP) STP",16927
"1,2,3,4,7,8-Hexachlorodibenzofuran (TSP) STP",16922
"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin (TSP) STP",16917
"1,2,3,6,7,8-Hexachlorodibenzofuran (TSP) STP",16923
"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin (TSP) STP",16918
"1,2,3,7,8,9-Hexachlorodibenzofuran (TSP) STP",16925
"1,2,3,7,8-Pentachlorodibenzofuran (TSP) STP",16920
"1,2,3-Trichloropropane",43604
"1,2,3-Trimethylbenzene",45225
"1,2,4,5-Tetrachlorobenzene (TSP) STP",16724
"1,2,4,5-Tetramethylbenzene",45231
"1,2,4-Trichlorobenzene",45810
"1,2,4-Trichlorobenzene (TSP) STP",16725
"1,2,4-Trimethylbenzene",45208
"1,2,4-Trimethylbenzene & .beta.-pinene",43364
"1,2,4-Trimethylbenzene & sec-butylbenzene",43363
"1,2-Butadiene",43223
"1,2-Dichlorobenzene",45805
"1,2-Dichlorobenzene (TSP) STP  ",16726
"1,2-Dichloroethene(total)",43840
"1,2-Dichloropropane",43829
"1,2-Dimethylnaphthalene (TSP) STP",17144
"1,2-Epoxybutane",43566
"1,2-Epoxybutane (TSP)STP",16601
"1,2-dimethylnaphthalene (TSP) STP",17146
"1,3,5-Trichlorobenzene",43605
"1,3,5-Trimethylbenzene",45207
"1,3-Butadiene",43218
"1,3-Dichlorobenzene",45806
"1,3-Dichlorobenzene (TSP) STP",16727
"1,3-Dichloropropene(total)",43841
"1,3-Dinitrobenzene (TSP) STP",16728
"1,3-Hexadiene",43229
"1,3-dinitropyrene (TSP) STP",17152
